"","X","phantom","vin","PN","Qtde","Price"
"158",3991,20314,"E-320140242","Parafuso 14x100 10.9 com arruelas e porcas",98,14.578
"159",4005,23740,"E-003472815","Parafuso 14x100 10.9 com arruelas e porcas",225,13.709625
"160",4020,68517,"E-160875338","Parafuso 14x100 10.9 com arruelas e porcas",156,13.633125
"161",4035,5386,"583600288","Parafuso 14x100 10.9 com arruelas e porcas",137,12.647875
"162",4064,39051,"E-051039177","Parafuso 14x100 10.9 com arruelas e porcas",156,13.6375
"163",4084,68517,"870651316","Parafuso 14x100 10.9 com arruelas e porcas",107,14.4995
"164",4110,26051,"E-520106965","Parafuso 14x100 10.9 com arruelas e porcas",195,12.766875
"165",4123,20314,"E-403021673","Parafuso 14x100 10.9 com arruelas e porcas",186,12.83525
"166",4155,68517,"E-807516827","Parafuso 14x100 10.9 com arruelas e porcas",137,14.479625
"167",4170,3941,"E-309104908","Parafuso 14x100 10.9 com arruelas e porcas",68,12.796375
"168",4186,5386,"E-006853720","Parafuso 14x100 10.9 com arruelas e porcas",166,14.260375
"169",4246,60435,"E-035640003","Parafuso 14x100 10.9 com arruelas e porcas",107,13.334
"170",4268,23740,"407023162","Parafuso 14x100 10.9 com arruelas e porcas",176,14.593125
"171",4287,20314,"34210161","Parafuso 14x100 10.9 com arruelas e porcas",68,14.688375
"172",4305,39051,"E-590130398","Parafuso 14x100 10.9 com arruelas e porcas",215,14.16975
"173",4336,68517,"E-607158671","Parafuso 14x100 10.9 com arruelas e porcas",234,13.354625
"174",4370,93712,"E-902317086","Parafuso 14x100 10.9 com arruelas e porcas",20,14.5285
"175",4387,18025,"805201246","Parafuso 14x100 10.9 com arruelas e porcas",68,14.498
"176",4451,87213,"E-102738032","Parafuso 14x100 10.9 com arruelas e porcas",78,13.424625
"177",4467,23740,"E-074302891","Parafuso 14x100 10.9 com arruelas e porcas",39,14.377875
"178",4518,10847,"80741270","Parafuso 14x100 10.9 com arruelas e porcas",10,14.26825
"179",4531,39051,"910305843","Parafuso 14x100 10.9 com arruelas e porcas",59,13.360125
"180",4547,60435,"465030822","Parafuso 14x100 10.9 com arruelas e porcas",215,13.265625
"181",4567,93712,"319702625","Parafuso 14x100 10.9 com arruelas e porcas",244,13.591375
"182",4599,18025,"250180871","Parafuso 14x100 10.9 com arruelas e porcas",186,13.810375
"183",4633,3941,"E-340091054","Parafuso 14x100 10.9 com arruelas e porcas",176,13.007625
"184",4702,39051,"E-300591451","Parafuso 14x100 10.9 com arruelas e porcas",225,12.620375
"185",4722,54019,"E-095140630","Parafuso 14x100 10.9 com arruelas e porcas",78,12.6835
"186",4738,3941,"E-390041199","Parafuso 14x100 10.9 com arruelas e porcas",147,12.859625
"187",4756,23740,"702340802","Parafuso 14x100 10.9 com arruelas e porcas",29,13.12225
"188",4775,54019,"E-941005439","Parafuso 14x100 10.9 com arruelas e porcas",147,12.51
"189",4853,60435,"E-605403922","Parafuso 14x100 10.9 com arruelas e porcas",225,12.9855
"190",4869,93712,"E-721903179","Parafuso 14x100 10.9 com arruelas e porcas",117,12.828625
"191",4892,93712,"902731294","Parafuso 14x100 10.9 com arruelas e porcas",78,14.80125
"192",4910,18025,"E-802150540","Parafuso 14x100 10.9 com arruelas e porcas",195,14.777375
"193",4927,26051,"2165605","Parafuso 14x100 10.9 com arruelas e porcas",117,13.035
"194",4945,54019,"E-001594419","Parafuso 14x100 10.9 com arruelas e porcas",195,13.674625
"195",4965,5386,"E-085063070","Parafuso 14x100 10.9 com arruelas e porcas",137,12.5405
"196",4981,19235,"E-301295258","Parafuso 14x100 10.9 com arruelas e porcas",107,13.03175
"197",5013,39051,"E-903051223","Parafuso 14x100 10.9 com arruelas e porcas",117,13.55475
"198",5041,4761,"E-016074698","Parafuso 14x100 10.9 com arruelas e porcas",49,13.542375
"199",5055,5386,"358006491","Parafuso 14x100 10.9 com arruelas e porcas",68,13.474375
"200",5104,19235,"E-352190683","Parafuso 14x100 10.9 com arruelas e porcas",29,13.850375
"201",5121,39051,"E-905103792","Parafuso 14x100 10.9 com arruelas e porcas",254,13.81325
"202",5137,60435,"356004950","Parafuso 14x100 10.9 com arruelas e porcas",68,13.651875
"203",5167,20314,"43102732","Parafuso 14x100 10.9 com arruelas e porcas",244,12.833625
"204",5183,20314,"E-010423300","Parafuso 14x100 10.9 com arruelas e porcas",195,14.696125
"205",5203,87213,"E-831072619","Parafuso 14x100 10.9 com arruelas e porcas",29,12.618375
"206",5221,87213,"381270624","Parafuso 14x100 10.9 com arruelas e porcas",234,14.462875
"207",5269,19235,"E-902351588","Parafuso 14x100 10.9 com arruelas e porcas",225,12.756625
"208",5320,19235,"590312309","Parafuso 14x100 10.9 com arruelas e porcas",225,12.597125
"209",5348,26051,"560021800","Parafuso 14x100 10.9 com arruelas e porcas",166,14.119875
"210",5364,60435,"540063752","Parafuso 14x100 10.9 com arruelas e porcas",78,14.3515
"211",5384,54019,"50491252","Parafuso 14x100 10.9 com arruelas e porcas",117,12.97
"212",5431,39051,"15903900","Parafuso 14x100 10.9 com arruelas e porcas",186,14.581
"213",5450,93712,"129370606","Parafuso 14x100 10.9 com arruelas e porcas",127,13.961875
"214",5466,5386,"638500486","Parafuso 14x100 10.9 com arruelas e porcas",176,13.094875
"215",5500,23740,"E-372040213","Parafuso 14x100 10.9 com arruelas e porcas",88,12.940875
"216",5517,93712,"E-072931100","Parafuso 14x100 10.9 com arruelas e porcas",195,14.8725
"217",5533,3941,"E-034190947","Parafuso 14x100 10.9 com arruelas e porcas",176,14.002625
"218",5566,3941,"E-301409245","Parafuso 14x100 10.9 com arruelas e porcas",205,14.043
"219",5614,5386,"500368535","Parafuso 14x100 10.9 com arruelas e porcas",186,12.930875
"220",5635,10847,"80741944","Parafuso 14x100 10.9 com arruelas e porcas",39,14.454875
"221",5652,18025,"E-012508374","Parafuso 14x100 10.9 com arruelas e porcas",244,13.229
"222",5683,60435,"E-036054563","Parafuso 14x100 10.9 com arruelas e porcas",166,14.984875
"223",5702,19235,"E-590312083","Parafuso 14x100 10.9 com arruelas e porcas",49,14.12725
"224",5717,26051,"E-560201646","Parafuso 14x100 10.9 com arruelas e porcas",88,13.99725
"225",5753,94826,"E-689402213","Parafuso 14x100 10.9 com arruelas e porcas",205,13.52375
"226",5770,94826,"498206322","Parafuso 14x100 10.9 com arruelas e porcas",156,13.523
"227",5790,10847,"E-810704386","Parafuso 14x100 10.9 com arruelas e porcas",137,13.108875
"228",5811,68517,"E-051786665","Parafuso 14x100 10.9 com arruelas e porcas",205,12.71175
"229",5828,54019,"E-945010807","Parafuso 14x100 10.9 com arruelas e porcas",156,13.8295
"230",5846,93712,"139207596","Parafuso 14x100 10.9 com arruelas e porcas",166,14.277125
"231",5894,68517,"568170539","Parafuso 14x100 10.9 com arruelas e porcas",195,13.891875
"232",5911,94826,"268490464","Parafuso 14x100 10.9 com arruelas e porcas",176,13.305375
"233",5927,20314,"134002890","Parafuso 14x100 10.9 com arruelas e porcas",88,12.69675
"234",5959,18025,"E-085102072","Parafuso 14x100 10.9 com arruelas e porcas",137,13.599375
"235",5976,94826,"E-069482225","Parafuso 14x100 10.9 com arruelas e porcas",244,14.47725
"236",6025,5386,"E-065083368","Parafuso 14x100 10.9 com arruelas e porcas",39,12.993875
"237",6089,93712,"E-201973303","Parafuso 14x100 10.9 com arruelas e porcas",117,13.440125
"238",6103,4761,"E-407106127","Parafuso 14x100 10.9 com arruelas e porcas",117,13.239375
"239",6132,93712,"231097257","Parafuso 14x100 10.9 com arruelas e porcas",39,13.203875
"240",6149,54019,"E-500149802","Parafuso 14x100 10.9 com arruelas e porcas",166,13.34325
"241",6163,19235,"93152467","Parafuso 14x100 10.9 com arruelas e porcas",137,14.271125
"242",6178,26051,"251006242","Parafuso 14x100 10.9 com arruelas e porcas",186,14.58375
"243",6226,26051,"52016569","Parafuso 14x100 10.9 com arruelas e porcas",195,13.977625
"244",6321,54019,"E-014095136","Parafuso 14x100 10.9 com arruelas e porcas",20,14.182875
"245",6352,19235,"E-519320448","Parafuso 14x100 10.9 com arruelas e porcas",137,14.97125
"246",6370,68517,"E-618507186","Parafuso 14x100 10.9 com arruelas e porcas",107,13.44675
"247",6386,93712,"973021080","Parafuso 14x100 10.9 com arruelas e porcas",117,14.394
"248",6398,19235,"293015406","Parafuso 14x100 10.9 com arruelas e porcas",88,14.042125
"249",6411,4761,"16074276","Parafuso 14x100 10.9 com arruelas e porcas",117,13.50675
"250",6429,4761,"467001811","Parafuso 14x100 10.9 com arruelas e porcas",147,13.05225
"251",6474,3941,"94310928","Parafuso 14x100 10.9 com arruelas e porcas",29,14.604375
"252",6493,4761,"670140516","Parafuso 14x100 10.9 com arruelas e porcas",205,14.23175
"253",6507,94826,"942086068","Parafuso 14x100 10.9 com arruelas e porcas",244,13.05275
"254",6524,18025,"815002360","Parafuso 14x100 10.9 com arruelas e porcas",225,12.69025
"255",2,93712,"319720023","Parafuso 14x100 12.9 com arruelas e porcas",215,16.461125
"256",51,20314,"130204378","Parafuso 14x100 12.9 com arruelas e porcas",117,15.740125
"257",137,39051,"E-350109585","Parafuso 14x100 12.9 com arruelas e porcas",186,14.745625
"258",155,4761,"704106394","Parafuso 14x100 12.9 com arruelas e porcas",78,14.58175
"259",185,3941,"E-103049202","Parafuso 14x100 12.9 com arruelas e porcas",254,15.628125
"260",233,19235,"532901326","Parafuso 14x100 12.9 com arruelas e porcas",215,15.2175
"261",255,20314,"230104257","Parafuso 14x100 12.9 com arruelas e porcas",254,14.1965
"262",271,68517,"805671242","Parafuso 14x100 12.9 com arruelas e porcas",98,16.672
"263",285,4761,"71046667","Parafuso 14x100 12.9 com arruelas e porcas",49,15.956375
"264",303,94826,"E-269084451","Parafuso 14x100 12.9 com arruelas e porcas",254,14.257375
"265",322,23740,"E-702340958","Parafuso 14x100 12.9 com arruelas e porcas",127,16.232375
"266",338,23740,"7234368","Parafuso 14x100 12.9 com arruelas e porcas",39,15.6505
"267",355,26051,"E-001265752","Parafuso 14x100 12.9 com arruelas e porcas",225,15.579
"268",371,93712,"730219427","Parafuso 14x100 12.9 com arruelas e porcas",29,15.811875
"269",389,39051,"E-015930917","Parafuso 14x100 12.9 com arruelas e porcas",156,15.521125
"270",419,3941,"401309201","Parafuso 14x100 12.9 com arruelas e porcas",98,13.934
"271",451,39051,"E-195030340","Parafuso 14x100 12.9 com arruelas e porcas",147,14.440375
"272",473,18025,"E-285001231","Parafuso 14x100 12.9 com arruelas e porcas",166,16.0345
"273",503,93712,"29731914","Parafuso 14x100 12.9 com arruelas e porcas",127,15.428
"274",552,3941,"90143172","Parafuso 14x100 12.9 com arruelas e porcas",107,14.526625
"275",567,39051,"E-915300918","Parafuso 14x100 12.9 com arruelas e porcas",166,14.12575
"276",585,20314,"E-040312583","Parafuso 14x100 12.9 com arruelas e porcas",225,14.982125
"277",603,5386,"508306876","Parafuso 14x100 12.9 com arruelas e porcas",176,16.754875
"278",633,3941,"419030677","Parafuso 14x100 12.9 com arruelas e porcas",68,15.401
"279",649,94826,"496082517","Parafuso 14x100 12.9 com arruelas e porcas",166,16.46925
"280",666,94826,"E-980642250","Parafuso 14x100 12.9 com arruelas e porcas",147,15.492875
"281",693,26051,"201065254","Parafuso 14x100 12.9 com arruelas e porcas",225,14.448375
"282",707,87213,"E-827301393","Parafuso 14x100 12.9 com arruelas e porcas",205,16.72425
"283",721,60435,"E-053640302","Parafuso 14x100 12.9 com arruelas e porcas",156,16.68125
"284",734,3941,"E-401903810","Parafuso 14x100 12.9 com arruelas e porcas",176,16.82275
"285",752,60435,"E-060354666","Parafuso 14x100 12.9 com arruelas e porcas",254,14.09475
"286",769,54019,"E-014095001","Parafuso 14x100 12.9 com arruelas e porcas",107,15.3515
"287",784,68517,"760815479","Parafuso 14x100 12.9 com arruelas e porcas",88,16.246375
"288",837,60435,"35046736","Parafuso 14x100 12.9 com arruelas e porcas",186,16.847
"289",854,68517,"78615124","Parafuso 14x100 12.9 com arruelas e porcas",68,15.297375
"290",867,4761,"E-160470699","Parafuso 14x100 12.9 com arruelas e porcas",68,14.277625
"291",922,20314,"32401515","Parafuso 14x100 12.9 com arruelas e porcas",215,15.5955
"292",939,93712,"E-270139057","Parafuso 14x100 12.9 com arruelas e porcas",10,14.52575
"293",974,26051,"E-605021498","Parafuso 14x100 12.9 com arruelas e porcas",176,14.42425
"294",993,93712,"E-397012546","Parafuso 14x100 12.9 com arruelas e porcas",215,14.725375
"295",1024,20314,"E-002143458","Parafuso 14x100 12.9 com arruelas e porcas",49,16.493
"296",1042,54019,"500149745","Parafuso 14x100 12.9 com arruelas e porcas",225,14.49375
"297",1061,19235,"E-013952866","Parafuso 14x100 12.9 com arruelas e porcas",205,15.401
"298",1077,20314,"21043268","Parafuso 14x100 12.9 com arruelas e porcas",49,14.622125
"299",1093,4761,"47061687","Parafuso 14x100 12.9 com arruelas e porcas",39,16.694625
"300",1109,87213,"E-230871207","Parafuso 14x100 12.9 com arruelas e porcas",225,14.853375
"301",1130,4761,"E-070641765","Parafuso 14x100 12.9 com arruelas e porcas",147,13.938625
"302",1148,94826,"294608593","Parafuso 14x100 12.9 com arruelas e porcas",117,15.4335
"303",1167,94826,"E-920468841","Parafuso 14x100 12.9 com arruelas e porcas",78,14.932875
"304",1180,10847,"1847606","Parafuso 14x100 12.9 com arruelas e porcas",29,15.378
"305",1198,10847,"E-481007268","Parafuso 14x100 12.9 com arruelas e porcas",10,13.751
